"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Q0010",0,NA,NA,NA,NA,NA
"Q0017",0,NA,NA,NA,NA,NA
"Q0032",0,NA,NA,NA,NA,NA
"Q0045",0.15802579318794,-0.0590437047833551,3.06554145635918,-0.0192604489692594,0.984633335221366,NA
"Q0050",0.444815519626862,0.122576350544898,1.93896054491707,0.0632175579158783,0.949593263549129,0.971569608700048
"Q0055",0.0750525941919842,0.671872760207077,3.5338115409304,0.190126935866587,0.849209663269176,NA
"Q0060",0,NA,NA,NA,NA,NA
"Q0065",0,NA,NA,NA,NA,NA
"Q0070",0,NA,NA,NA,NA,NA
"Q0075",0,NA,NA,NA,NA,NA
"Q0080",0,NA,NA,NA,NA,NA
"Q0085",0.0756587171579964,0.671872760207078,3.5338115409304,0.190126935866587,0.849209663269176,NA
"Q0092",0,NA,NA,NA,NA,NA
"Q0105",0.0750525941919842,0.671872760207077,3.5338115409304,0.190126935866587,0.849209663269176,NA
"Q0110",0,NA,NA,NA,NA,NA
"Q0115",0,NA,NA,NA,NA,NA
"Q0120",0.0756587171579964,0.671872760207078,3.5338115409304,0.190126935866587,0.849209663269176,NA
"Q0130",0.151103080572052,-0.0462579181544304,3.1131512275625,-0.0148588728182822,0.988144771033929,NA
"Q0140",0,NA,NA,NA,NA,NA
"Q0142",0,NA,NA,NA,NA,NA
"Q0143",0,NA,NA,NA,NA,NA
"Q0144",0,NA,NA,NA,NA,NA
"Q0160",0,NA,NA,NA,NA,NA
"Q0182",0,NA,NA,NA,NA,NA
"Q0250",0.158394687164464,-0.054637921888912,3.06252670923159,-0.0178407984897611,0.985765857443874,NA
"Q0255",0,NA,NA,NA,NA,NA
"Q0275",0.0756587171579964,0.671872760207077,3.5338115409304,0.190126935866587,0.849209663269176,NA
"Q0297",0,NA,NA,NA,NA,NA
"YAL001C",70.9754787163818,-0.454611852609735,0.183297623640143,-2.48018410485368,0.0131314561777118,0.0383839041953246
"YAL002W",62.9734841503789,-0.158155750904543,0.180252100814403,-0.877414189293627,0.380261708892097,0.532922749637739
"YAL003W",1052.80124460981,1.27219562027239,0.0442563299292674,28.7460714050549,1.01419199849209e-181,7.63300216007974e-180
"YAL004W",0,NA,NA,NA,NA,NA
"YAL005C",1809.21654576965,1.81464966602524,0.0356369364278198,50.9204731922086,0,0
"YAL007C",124.278375859361,-0.139362281898916,0.132048152236343,-1.05538986754984,0.291247055051327,0.443250814163333
"YAL008W",60.3123214657949,-0.103342436827349,0.184340825224983,-0.560605263110989,0.575066662811654,0.710269051827503
"YAL009W",41.6196541464315,-0.610600551610613,0.241004986974952,-2.53355982079356,0.0112910466198231,0.0339106872829082
"YAL010C",43.173754710744,-0.37303194249799,0.216703617277322,-1.72139232000272,0.0851796569505537,0.176443575111861
"YAL011W",50.9250672607696,-0.655339210662123,0.20285277457622,-3.23061497202191,0.00123524213762789,0.00493940594186179
"YAL012W",795.055423696763,0.604746781458196,0.0514013278953382,11.7651976363249,5.89880477836403e-32,1.08407685490748e-30
